2025-04-21 19:15:39,554 - default - ERROR - error creating user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:15:39,555 - default - INFO -  created user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:16:08,159 - default - ERROR - error creating user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:16:08,159 - default - INFO -  created user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:17:05,040 - default - ERROR - error creating user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:17:05,041 - default - INFO -  created user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:17:22,870 - default - ERROR - error creating user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:17:22,870 - default - INFO -  created user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:18:02,450 - default - ERROR - error creating user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:18:02,450 - default - INFO -  created user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:18:22,856 - default - ERROR - error creating user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:18:22,856 - default - INFO -  created user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:18:32,905 - default - ERROR - error creating user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
2025-04-21 19:18:32,905 - default - INFO -  created user 400: {'success_status': False, 'message': 'password must be 8 character long with uppercase lowercase number and special character', 'error': 'invalid password', 'doc_length': None}
